context	label	year	test_type	question_number	question	answers
The Canadian regarded the lawyers’ absence as facilitating the successful completion of the negotiation; 	0	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	4
the Egyptian interpreted it as signaling the Canadian’s mistrust of his verbal commitment.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
Canadians often use the impersonal formality of a lawyer’s services to finalize agreements.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	5
Egyptians, by contrast, more frequently depend on the personal relationship between bargaining partners to accomplish the same purpose.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
An independent artist is probably the one who lives closest to an unbounded creative situation.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Many artists have considerable freedom from external requirements about what to do, how to do it, when to do it, and why.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
At the same time, however, we know that artists usually limit themselves quite forcefully by choice of material and form of expression.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
To make the choice to express a feeling by carving a specific form from a rock, without the use of high technology or colors, restricting the artist significantly.	0	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
Such choices are not made to limit creativity, but rather to cultivate it.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
When everything is possible, creativity has no tension.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Creativity is strange in that it finds its way in any kind of situation, no matter how restricted, just as the same amount of water flows faster and stronger through a narrow strait than across the open sea.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
The desert locust lives in two remarkably different styles depending on the availability of food sources and the density of the local locust population.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
When food is scarce, as it usually is in their native desert habitat, locusts are born with coloring designed for camouflage and lead solitary lives.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
When food is scarce, as it usually is in their native desert habitat, locusts are born with coloring designed for camouflage and lead social lives.	0	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
But when rare periods of significant rain produce major vegetation growth, everything changes.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
At first, the locusts continue to be loners, just feasting off the insufficient food supply.	0	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
At first, the locusts continue to be loners, just feasting off the abundant food supply.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
But as the extra vegetation starts to die off, the locusts find themselves crowded together.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Suddenly, baby locusts are born with bright colors and a preference for company.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Instead of avoiding one another and hiding from predators through camouflage and inactivity, these locusts gather in vast groups, feed together, and overwhelm their predators simply through numbers.	1	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
Instead of avoiding one another and hiding from predators through camouflage and inactivity, these locusts gather in vast groups, feed together, and overestimate their predators simply through numbers.	0	2016	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
